#Name radius depth solvation volume covalent_radius xs_radius xs_hydrophobe xs_donor xs_acceptr ad_heteroatom
Hydrogen 1.0 0.02 0.00051 0.0 0.37 0.333 0 0 0 0
PolarHydrogen 1.0 0.02 0.00051 0.0 0.37 0.37 0 0 0 0
AliphaticCarbonXSHydrophobe 2.0 0.15 -0.00143 33.5103 0.77 1.71 1 0 0 0
AliphaticCarbonXSNonHydrophobe 2.0 0.15 -0.00143 33.5103 0.77 1.9 0 0 0 0
AromaticCarbonXSHydrophobe 2.0 0.15 -0.00052 33.5103 0.77 1.71 1 0 0 0
AromaticCarbonXSNonHydrophobe 2.0 0.15 -0.00052 33.5103 0.77 1.9 0 0 0 0
Nitrogen 1.75 0.16 -0.00162 22.4493 0.75 1.8 0 0 0 1
NitrogenXSDonor 1.75 0.16 -0.00162 22.4493 0.75 1.8 0 1 0 1
NitrogenXSDonorAcceptor 1.75 0.16 -0.00162 22.4493 0.75 1.8 0 1 1 1
NitrogenXSAcceptor 1.75 0.16 -0.00162 22.4493 0.75 1.8 0 0 1 1
Oxygen 1.6 0.2 -0.00251 17.1573 0.73 1.7 0 0 0 1
OxygenXSDonor 1.6 0.2 -0.00251 17.1573 0.73 1.7 0 1 0 1
OxygenXSDonorAcceptor 1.6 0.2 -0.00251 17.1573 0.73 1.7 0 1 1 1
OxygenXSAcceptor 1.6 0.2 -0.00251 17.1573 0.73 1.7 0 0 1 1
Sulfur 2.0 0.2 -0.00214 33.5103 1.02 2.0 0 0 0 1
SulfurAcceptor 2.0 0.2 -0.00214 33.5103 1.02 2.0 0 0 0 1
Phosphorus 2.1 0.2 -0.0011 38.7924 1.06 2.1 0 0 0 1
Fluorine 1.545 0.08 -0.0011 15.448 0.71 1.5 1 0 0 1
Chlorine 2.045 0.276 -0.0011 35.8235 0.99 1.8 1 0 0 1
Bromine 2.165 0.389 -0.0011 42.5661 1.14 2.0 1 0 0 1
Iodine 2.36 0.55 -0.0011 55.0585 1.33 2.2 1 0 0 1
Magnesium 0.65 0.875 -0.0011 1.56 1.3 1.2 0 1 0 1
Manganese 0.65 0.875 -0.0011 2.14 1.39 1.2 0 1 0 1
Zinc 0.74 0.55 -0.0011 1.7 1.31 1.2 0 1 0 1
Calcium 0.99 0.55 -0.0011 2.77 1.74 1.2 0 1 0 1
Iron 0.65 0.01 -0.0011 1.84 1.25 1.2 0 1 0 1
GenericMetal 1.2 0.0 -0.0011 22.4493 1.75 1.2 0 1 0 1
Boron 2.04 0.18 -0.0011 12.052 0.9 1.92 1 0 0 0
